ipo_date,symbol,company_name,ipo_price,current,return
2023-12-27,IROH,Iron Horse Acquisitions Corp.,10.00,4.09,-25.00
2023-12-19,UZX,Linkage Global Inc,,0.372,
2023-12-15,BAYA,Bayview Acquisition Corp,10.00,12.09,20.90
2023-12-15,ZKH,ZKH Group Limited,15.50,2.34,-84.90
2023-12-14,INHD,Inno Holdings Inc.,4.00,39.49,887.25
2023-12-04,AFJK,"Aimei Health Technology Co., Ltd",10.00,28.60,186.00
2023-12-01,GSIW,Garden Stage Limited,4.00,28.08,602.00
2023-11-30,FEBO,Fenbo Holdings Limited,5.00,0.86,-82.80
2023-11-21,CLBR,Colombier Acquisition Corp. II,10.00,17.24,72.40
2023-11-21,ELAB,PMGC Holdings Inc.,4.00,1.25,-68.75
2023-11-17,DDC,DDC Enterprise Limited,8.50,1.05,-87.65
2023-11-17,RR,Richtech Robotics Inc.,5.00,1.91,-61.80
2023-11-14,GLAC,Global Lights Acquisition Corp,10.00,10.82,8.20
2023-11-14,SGN,"Signing Day Sports, Inc.",5.00,0.54,-89.20
2023-11-14,SHIM,Shimmick Corporation,7.00,3.64,-48.14
2023-11-10,CRGX,"CARGO Therapeutics, Inc.",15.00,4.47,-70.20
2023-11-10,HG,"Hamilton Insurance Group, Ltd.",15.00,32.61,117.40
2023-11-09,AITR,AI Transportation Acquisition Corp,10.00,11.00,10.00
2023-11-09,ANSC,Agriculture & Natural Solutions Acquisition Corporation,10.00,11.44,14.40
2023-11-08,GVH,Globavend Holdings Limited,4.00,3.70,-3.25
2023-11-03,LXEO,"Lexeo Therapeutics, Inc.",11.00,4.89,-55.55
2023-11-01,PAPL,Pineapple Financial Inc.,4.00,0.893,-77.67
2023-10-31,ATGL,Alpha Technology Group Limited,4.00,11.50,187.50
2023-10-25,MNR,Mach Natural Resources LP,19.00,12.52,-34.11
2023-10-19,NCL,Northann Corp.,5.00,0.159,-96.82
2023-10-19,WBUY,Webuy Global Ltd,4.00,0.75,-81.26
2023-10-11,BIRK,Birkenstock Holding plc,46.00,45.09,-1.98
2023-10-10,GMM,Global Mofy AI Limited,5.00,2.93,-41.40
2023-10-10,LRHC,La Rosa Holdings Corp.,5.00,1.01,-79.80
2023-10-10,PMEC,Primech Holdings Ltd.,4.00,0.739,-81.54
2023-10-09,GPAK,Gamer Pakistan Inc.,4.00,0.01,-99.79
2023-10-06,QETA,Quetta Acquisition Corporation,10.00,11.70,17.00
2023-10-06,SPKL,Spark I Acquisition Corporation,10.00,12.25,22.50
2023-10-05,MSS,Maison Solutions Inc.,4.00,0.709,-82.27
2023-09-29,ANL,Adlai Nortye Ltd.,23.00,10.99,-52.22
2023-09-29,SYRA,Syra Health Corp.,4.13,0.104,-97.40
2023-09-28,VSME,VS MEDIA Holdings Limited,5.00,1.91,-61.80
2023-09-27,LRE,"Lead Real Estate Co., Ltd",7.00,1.25,-82.14
2023-09-22,TURB,"Turbo Energy, S.A.",5.00,1.47,-70.60
2023-09-21,MDBH,"MDB Capital Holdings, LLC",12.00,2.78,-76.88
2023-09-20,KVYO,"Klaviyo, Inc.",30.00,14.06,-53.13
2023-09-19,CART,Maplebear Inc.,30.00,46.60,55.33
2023-09-19,DTCK,Davis Commodities Limited,4.00,1.00,-75.00
2023-09-15,NMRA,"Neumora Therapeutics, Inc.",17.00,1.46,-91.41
