ipo_date,symbol,company_name,ipo_price,current,return
2026-06-23,GHXI,"Gores Holdings XI, Inc.",10.00,10.04,0.50
2026-06-18,FCBM,"First Carolina Financial Services, Inc.",12.50,12.80,2.40
2026-06-18,FISN,"Deep Fission, Inc.",16.00,9.76,-39.00
2026-06-18,KARD,"Kardigan, Inc.",16.00,22.03,37.69
2026-06-18,TVIV,Texas Ventures Acquisition IV Corp.,10.00,10.01,0.10
2026-06-18,WLCO,Wilco 63 Corporation,10.00,9.93,-0.75
2026-06-17,CAES,"Cantor Equity Partners VII, Inc.",10.00,10.08,0.80
2026-06-16,YICC,Yorkville International Capital Corp.,10.00,10.04,0.35
2026-06-12,SPCX,Space Exploration Technologies Corp.,135.00,154.54,14.47
2026-06-11,FRBT,"Forbright, Inc.",18.00,18.05,0.28
2026-06-10,EROC,"ERock, Inc.",21.50,15.24,-29.12
2026-06-10,JAB,JAB Acquisition Corp I,10.00,10.05,0.50
2026-06-10,PBLS,"Parabilis Medicines, Inc.",20.00,27.32,36.60
2026-06-10,SHOT,RMG ML Sports Holdings,10.00,9.99,-0.10
2026-06-09,ISNR,Snow Rothschild Acquisition Corp,10.00,9.99,-0.10
2026-06-09,OCAC,Ocean Capital Acquisition Corporation,10.00,10.22,2.20
2026-06-09,WHK,WhiteHawk Minerals Corp.,,26.86,
2026-06-05,FTRA,FutureCorp Space Acquisition 1,10.00,10.16,1.55
2026-06-04,INIO,Innio N.V.,27.00,36.48,35.11
2026-06-04,IPVV,"InterPrivate Investment Partners V, Inc.",10.00,9.91,-0.90
2026-06-04,LFTO,"Liftoff Mobile, Inc.",23.00,27.00,17.39
2026-06-04,LTGR,Long Table Growth Corp.,10.00,10.03,0.30
2026-06-04,QNT,Quantinuum Inc.,60.00,71.10,18.50
2026-06-04,SSMR,Sunshine Silver Mining & Refining Company,13.50,12.77,-5.41
2026-06-03,AADX,"Applied Aerospace & Defense, Inc.",20.00,18.25,-8.75
2026-06-03,AESP,Aeon Acquisition I Corp.,10.00,10.07,0.70
2026-06-03,APMC,AmperCap Acquisition Company,10.00,10.00,
2026-06-03,KEYY,Keystone Acquisition Corp.,10.00,10.04,0.40
2026-05-29,BID,Tribeca Strategic Acquisition Corp.,10.00,10.00,
2026-05-27,DGAC,Disciplined Growth Acquisition Corporation,10.00,10.03,0.30
2026-05-22,BRKH,Burtech Acquisition Corp II,10.00,10.01,0.10
2026-05-22,FXAC,FortuneX Acquisition Corporation,10.00,10.04,0.40
2026-05-22,PECE,Peace Acquisition Corp,10.00,10.45,4.50
2026-05-21,APUR,Aperture AC,10.00,9.91,-0.90
2026-05-21,OHAC,Oceanhawk Acquisition Corp,10.00,10.16,1.60
2026-05-20,LCLN,"Lincoln International, Inc.",20.00,23.02,15.10
2026-05-20,RACC,Research Alliance Corporation III,10.00,10.54,5.40
2026-05-19,AMAN,Amanat Acquisition Corp,10.00,10.07,0.70
2026-05-15,EXYN,"Exyn Technologies, Inc.",,5.76,
2026-05-15,GUAC,Berto Acquisition Corp. II,10.00,10.12,1.20
2026-05-15,IDAC,Iron Dome Acquisition I Corp.,10.00,10.03,0.30
2026-05-15,PTAC,Patriot Acquisition Corp.,10.00,9.98,-0.20
2026-05-15,VIDA,VIDA Global Inc.,4.00,3.45,-13.75
2026-05-14,BXDC,Blackstone Digital Infrastructure Trust Inc.,20.00,21.54,7.70
2026-05-14,CBRS,Cerebras Systems Inc.,185.00,182.26,-1.48
2026-05-14,EROK,"EagleRock Land, LLC",18.50,20.46,10.60
2026-05-14,GSRV,GSR V Acquisition Corp.,10.00,10.06,0.60
2026-05-14,MWC,"Micware Co., Ltd.",8.00,3.77,-52.88
2026-05-13,BREZ,Breeze Acquisition Corp. II,10.00,9.93,-0.70
2026-05-13,FRVO,Fervo Energy Company,27.00,32.49,20.33
2026-05-13,GMRS,GMR Solutions Inc.,15.00,13.59,-9.40
2026-05-08,MOBI,"Mobia Medical, Inc.",15.00,12.98,-13.47
2026-05-08,ODTX,"Odyssey Therapeutics, Inc.",,18.47,
2026-05-08,OTAI,Starlink AI Acquisition Corporation,10.00,10.14,1.40
2026-05-07,HAWK,"HawkEye 360, Inc.",26.00,20.87,-19.73
2026-05-07,SAGU,Shreya Acquisition Group,10.00,10.21,2.10
2026-05-07,SUJA,"Suja Life, Inc.",21.00,9.88,-52.95
2026-05-06,REA,"Rare Earths Americas, Inc.",19.00,15.09,-20.58
2026-05-06,VECA,Vernal Capital Acquisition Corp.,10.00,10.74,7.40
2026-05-01,COAG,"Hemab Therapeutics Holdings, Inc.",18.00,28.76,59.33
2026-05-01,MTNE,CH4 Natural Solutions Corporation,10.00,10.01,0.10
2026-05-01,QLEP,Quantum Leap Acquisition Corp,10.00,10.03,0.30
2026-05-01,SPTX,"Seaport Therapeutics, Inc.",18.00,19.31,7.28
2026-04-30,ARCL,ARC Group Acquisition I Corp,10.00,10.23,2.30
2026-04-30,AVLN,Avalyn Pharma Inc.,18.00,30.09,67.17
2026-04-30,FTHA,Forefront Tech Holdings Acquisition Corp.,10.00,10.03,0.30
2026-04-30,GCGR,General Catalyst Global Resilience Merger Corp.,10.00,10.29,2.90
2026-04-30,MCAH,Mountain Crest Acquisition 6 Corp.,10.00,10.17,1.70
2026-04-30,RREV,RRE Ventures Acquisition Corp.,10.00,10.05,0.50
2026-04-30,SBMT,Silver Bow Mining Corp.,11.50,6.19,-46.17
2026-04-29,CAII,Collective Acquisition Corp. II,10.00,10.05,0.50
2026-04-29,PS,Pershing Square Inc.,50.00,30.90,-38.20
2026-04-28,CXII,Churchill Capital Corp XII,10.00,10.54,5.40
2026-04-28,IACQ,Irenic Acquisition Corp.,10.00,10.22,2.20
2026-04-28,PLUN,Plutonian Acquisition Corp II,10.00,10.16,1.60
2026-04-24,XE,"X-Energy, Inc.",23.00,19.10,-16.96
2026-04-23,ELMT,The Elmet Group Co.,14.00,18.11,29.36
2026-04-22,NHP,"National Healthcare Properties, Inc.",12.00,14.33,19.42
2026-04-22,YSWY,"Yesway, Inc.",20.00,20.71,3.55
2026-04-17,ALMR,"Alamar Biosciences, Inc.",17.00,23.83,40.18
2026-04-17,AVEX,AEVEX Corp.,20.00,15.34,-23.30
2026-04-17,JATT,JATT II Acquisition Corp.,10.00,10.45,4.50
2026-04-17,KLRA,"Kailera Therapeutics, Inc.",16.00,21.37,33.56
2026-04-16,ARXS,"Arxis, Inc.",28.00,43.09,53.89
2026-04-16,MAIR,Madison Air Solutions Corporation,27.00,39.40,45.93
2026-04-15,NHIV,NewHold Investment Corp IV,10.00,10.00,
2026-04-15,QRED,Quasaredge Acquisition Corporation,10.00,9.95,-0.50
2026-04-14,MYX,Maywood Acquisition Corp. 2,10.00,9.91,-0.90
2026-04-07,AACP,Apogee Acquisition Corp,10.00,9.96,-0.43
2026-04-07,ACGC,ACP Holdings Acquisition Corp.,10.00,9.95,-0.55
2026-04-01,HMH,HMH Holding Inc.,20.00,18.16,-9.20
2026-03-31,KPET,KPET Ultra Paceline Corporation,10.00,10.01,0.10
2026-03-27,FMAC,Future Money Acquisition Corporation,10.00,9.96,-0.40
2026-03-27,IPFX,Inflection Point Acquisition Corp. VI,10.00,10.31,3.10
2026-03-27,QADR,QDRO Acquisition Corp.,10.00,9.93,-0.75
2026-03-20,BWIV,Blue Water Acquisition Corp. IV,10.00,9.89,-1.10
2026-03-20,GMTL,Guardian Metal Resources PLC,16.35,14.70,-10.09
2026-03-20,JAN,"Janus Living, Inc.",20.00,28.58,42.90
2026-03-19,BHAV,BHAV Acquisition Corp,10.00,9.91,-0.90
2026-03-17,SWMR,"Swarmer, Inc",5.00,38.23,664.60
2026-03-13,PONO,"Pono Capital Four, Inc.",10.00,9.97,-0.30
2026-03-12,MTAL,Metals Acquisition Corp. II,10.00,10.16,1.60
2026-03-12,PAYP,PayPay Corporation,16.00,13.89,-13.19
2026-03-11,SUMA,SUMA Acquisition Corporation,10.00,9.88,-1.20
2026-03-06,MMED,"MiniMed Group, Inc.",20.00,14.13,-29.35
2026-03-04,GLED,GalaxyEdge Acquisition Corporation,10.00,9.95,-0.50
2026-03-04,KCAC,Kensington Capital Acquisition Corp. VI,10.00,10.30,3.00
2026-02-27,GENB,"Generate Biomedicines, Inc.",16.00,16.23,1.44
2026-02-27,ILLU,Illumination Acquisition Corp I,10.00,9.90,-1.00
2026-02-26,FVAV,Fortress Value Acquisition Corp. V,10.00,10.10,1.00
2026-02-26,TRAD,Apex Tech Acquisition Inc.,10.00,9.94,-0.60
2026-02-26,TRGS,TRG Latin America Acquisitions Corp.,10.00,9.90,-1.00
2026-02-25,MZYX,MOZAYYX Acquisition Corp.,10.00,9.90,-1.00
2026-02-24,CTAA,ClearThink 1 Acquisition Corp.,10.00,9.90,-1.00
2026-02-20,ROC,Rank One Computing Corporation,6.00,4.54,-24.33
2026-02-19,AACO,Abony Acquisition Corp. I,10.00,9.90,-1.00
2026-02-19,ACAA,Averin Capital Acquisition Corp.,10.00,9.97,-0.30
2026-02-19,PALO,Paloma Acquisition Corp I,10.00,9.91,-0.90
2026-02-18,AACI,Armada Acquisition Corp. III,10.00,9.95,-0.50
2026-02-13,RFAM,RF Acquisition Corp III,10.00,9.90,-1.00
2026-02-13,WLII,Willow Lane Acquisition Corp. II,10.00,10.18,1.80
2026-02-12,APC,ARKO Petroleum Corp.,18.00,18.32,1.78
2026-02-12,HACQ,HCM IV Acquisition Corp.,10.00,10.01,0.10
2026-02-12,PAAC,Proem Acquisition Corp I,10.00,9.99,-0.10
2026-02-12,XFLH,XFLH Capital Corporation,10.00,9.98,-0.20
2026-02-11,AGBK,AGI Inc,12.00,6.88,-42.67
2026-02-11,CMII,Columbus Circle Capital Corp II,10.00,9.99,-0.10
2026-02-11,DBCA,D. Boral Acquisition I Corp.,10.00,9.99,-0.10
2026-02-11,IACO,Idea Acquisition Corp.,10.00,9.91,-0.90
2026-02-11,MWH,"SOLV Energy, Inc.",25.00,34.46,37.84
2026-02-11,TMTS,Spartacus Acquisition Corp. II,10.00,10.00,
2026-02-10,JAGU,Jaguar Uranium Corp.,4.00,1.71,-57.25
2026-02-10,SVIV,Spring Valley Acquisition Corp. IV,10.00,10.20,2.00
2026-02-06,AGMB,AgomAb Therapeutics NV,16.00,12.68,-20.75
2026-02-06,CAQ,Cambridge Acquisition Corp.,10.00,9.90,-1.00
2026-02-06,OFRM,"Once Upon A Farm, PBC",18.00,20.46,13.67
2026-02-06,SGP,"SpyGlass Pharma, Inc.",16.00,19.55,22.19
2026-02-06,SSAC,SPACSphere Acquisition Corp.,10.00,9.97,-0.30
2026-02-05,BOBS,"Bob's Discount Furniture, Inc.",17.00,14.39,-15.35
2026-02-05,CEPS,"Cantor Equity Partners VI, Inc.",10.00,10.40,4.00
2026-02-05,EIKN,"Eikon Therapeutics, Inc.",18.00,9.63,-46.50
2026-02-05,FPS,"Forgent Power Solutions, Inc.",27.00,60.12,122.67
2026-02-05,HCIC,Hennessy Capital Investment Corp. VIII,10.00,9.93,-0.70
2026-02-04,CLBR,Colombier Acquisition Corp. III,10.00,10.30,3.00
2026-02-04,MANE,"Veradermics, Incorporated",17.00,117.29,589.94
2026-02-03,IRAB,Iris Acquisition Corp II,10.00,9.94,-0.60
2026-02-02,WPAC,White Pearl Acquisition Corp.,10.00,10.01,0.10
2026-01-30,MEVO,M Evo Global Acquisition Corp II,10.00,9.93,-0.70
2026-01-30,MUZE,Muzero Acquisition Corp,10.00,9.94,-0.60
2026-01-30,NBRG,Newbridge Acquisition Limited,10.00,9.97,-0.30
2026-01-29,KTWO,K2 Capital Acquisition Corporation,10.00,9.95,-0.50
2026-01-29,LIFE,Ethos Technologies Inc.,19.00,18.10,-4.74
2026-01-29,PICS,PicS N.V.,19.00,9.97,-47.53
2026-01-29,UAC,United Acquisition Corp. I,10.00,9.99,-0.11
2026-01-29,XSLL,Xsolla SPAC 1,10.00,9.91,-0.90
2026-01-29,YSS,"York Space Systems, Inc.",34.00,24.54,-27.82
2026-01-28,KRAQ,KRAKacquisition Corp.,10.00,10.00,
2026-01-28,SAAQ,Space Asset Acquisition Corp.,10.00,10.13,1.78
2026-01-27,GIX,GigCapital9 Corp.,10.00,9.94,-0.60
2026-01-27,MLAA,Mountain Lake Acquisition Corp. II,10.00,9.93,-0.70
2026-01-23,ARCI,Archimedes Tech SPAC Partners III Co.,10.00,9.98,-0.20
2026-01-23,EQPT,EquipmentShare.com Inc.,24.50,22.30,-8.98
2026-01-23,HLXC,Helix Acquisition Corp. III,10.00,10.26,2.60
2026-01-23,LEGO,Legato Merger Corp. IV,10.00,9.92,-0.80
2026-01-23,PTOR,Praetorian Acquisition Corp.,10.00,9.94,-0.60
2026-01-22,ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",10.00,9.94,-0.60
2026-01-22,BTGO,"Bitgo Holdings, Inc.",18.00,5.04,-72.00
2026-01-21,XCBE,X3 Acquisition Corp. Ltd.,10.00,9.93,-0.70
2026-01-16,FGII,FG Imperii Acquisition Corp.,10.00,9.94,-0.60
2026-01-16,IEAG,Infinite Eagle Acquisition Corp.,10.00,10.06,0.60
2026-01-14,OIM,OneIM Acquisition Corp.,10.00,10.05,0.50
2026-01-13,GCDT,Green Circle Decarbonize Technology Limited,4.00,0.575,-85.62
2026-01-09,AKTS,"Aktis Oncology, Inc.",18.00,28.70,59.44
2026-01-09,ZKP,Lafayette Digital Acquisition Corp. I,10.00,9.94,-0.60
2026-01-08,BBCQ,Bleichroeder Acquisition Corp. II,10.00,10.35,3.50
2026-01-08,BUDA,"Buda Juice, Inc.",7.50,8.15,8.67
2026-01-07,SORN,Soren Acquisition Corp.,10.00,9.94,-0.60
2026-01-06,ARTC,Art Technology Acquisition Corp.,10.00,9.89,-1.00
2026-01-06,BIII,Black Spade Acquisition III Co,10.00,9.97,-0.30
