ipo_date,symbol,company_name,ipo_price,current,return
2025-10-01,NP,Neptune Insurance Holdings Inc.,20.00,28.99,44.95
2025-10-01,YCY,AA Mission Acquisition Corp. II,10.00,10.18,1.80
2025-09-30,APAC,StoneBridge Acquisition II Corporation,10.00,10.15,1.50
2025-09-30,BCSS,Bain Capital GSS Investment Corp.,10.00,10.28,2.80
2025-09-30,BDCI,BTC Development Corp.,10.00,10.06,0.60
2025-09-29,KNRX,Knorex Ltd.,4.00,0.448,-88.81
2025-09-26,AEXA,American Exceptionalism Acquisition Corp. A,10.00,11.43,14.30
2025-09-26,FCRS,FutureCrest Acquisition Corp.,10.00,10.19,1.90
2025-09-26,MGN,Megan Holdings Limited,4.00,0.218,-94.54
2025-09-25,DMII,Drugs Made In America Acquisition II Corp.,10.00,10.10,1.00
2025-09-25,EMIS,Emmis Acquisition Corp.,10.00,10.15,1.50
2025-09-19,LATA,Galata Acquisition Corp. II,10.00,10.09,0.90
2025-09-19,PLTS,Platinum Analytics Cayman Limited,4.00,17.50,337.50
2025-09-19,PTRN,Pattern Group Inc.,14.00,21.79,55.64
2025-09-18,NTSK,"Netskope, Inc.",19.00,9.50,-50.00
2025-09-17,STUB,"StubHub Holdings, Inc.",23.50,11.27,-52.04
2025-09-17,WBI,WaterBridge Infrastructure LLC,20.00,28.31,41.55
2025-09-16,CHEC,Chenghe Acquisition III Co.,10.00,10.16,1.60
2025-09-16,CHOW,ChowChow Cloud International Holdings Limited,4.00,0.43,-89.25
2025-09-12,BRCB,"Black Rock Coffee Bar, Inc.",20.00,7.53,-62.35
2025-09-12,FOFO,"Hang Feng Technology Innovation Co., Ltd.",4.00,3.64,-9.00
2025-09-12,GEMI,"Gemini Space Station, Inc.",28.00,4.18,-85.07
2025-09-12,LGN,Legence Corp.,28.00,79.79,184.96
2025-09-12,OTGA,OTG Acquisition Corp. I,10.00,10.15,1.50
2025-09-12,VIA,"Via Transportation, Inc.",46.00,15.10,-67.17
2025-09-11,FIGR,"Figure Technology Solutions, Inc.",25.00,27.40,9.60
2025-09-11,LBRX,LB Pharmaceuticals Inc,15.00,30.48,103.20
2025-09-10,BLZR,Trailblazer Acquisition Corp.,10.00,10.11,1.10
2025-09-10,KLAR,Klarna Group plc,40.00,18.39,-54.03
2025-09-09,TLNC,Talon Capital Corp.,10.00,10.22,2.20
2025-09-09,ZTG,Zenta Group Company Limited,,1.77,
2025-09-04,FCHL,Fitness Champs Holdings Limited,4.00,1.19,-70.25
2025-09-04,GSRF,GSR IV Acquisition Corp.,10.00,10.16,1.60
2025-09-04,SVAC,Spring Valley Acquisition Corp. III,10.00,10.28,2.80
2025-08-29,PMI,"Picard Medical, Inc.",4.00,0.17,-95.75
2025-08-28,ELOG,Eastern International Ltd.,4.00,0.862,-78.46
2025-08-28,TGHL,The Growhub Limited,4.00,0.448,-88.81
2025-08-28,THH,TryHard Holdings Limited,4.00,0.31,-92.26
2025-08-27,KOYN,"CSLM Digital Asset Acquisition Corp III, Ltd",10.00,10.14,1.35
2025-08-27,MBVI,M3-Brigade Acquisition Vi Corp.,10.00,10.14,1.50
2025-08-26,CURX,Curanex Pharmaceuticals Inc,4.00,0.265,-93.38
2025-08-21,CEPF,"Cantor Equity Partners IV, Inc.",10.00,10.36,3.60
2025-08-21,ETS,Elite Express Holding Inc.,4.00,0.716,-82.10
2025-08-19,YMT,Yimutian Inc.,4.10,0.592,-85.56
2025-08-15,NUTR,NusaTrip Incorporated,4.00,9.00,125.00
2025-08-14,BUUU,BUUU Group Limited,4.00,23.03,475.75
2025-08-14,MIAX,"Miami International Holdings, Inc.",23.00,36.49,58.65
2025-08-14,NSRX,Nasus Pharma Ltd.,8.00,3.30,-58.75
2025-08-14,RYOJ,"rYojbaba Co., Ltd.",4.00,2.26,-43.50
2025-08-13,BLSH,Bullish,37.00,23.47,-36.57
2025-08-12,HVMC,Highview Merger Corp.,10.00,10.15,1.50
2025-08-12,MAGH,Magnitude International Ltd,4.00,6.81,70.25
2025-08-12,MKLY,McKinley Acquisition Corporation,10.00,10.16,1.60
2025-08-08,DKI,Darkiris Inc.,4.00,4.74,18.50
2025-08-08,EFTY,"Etoiles Capital Group Co., Ltd",4.00,15.02,275.50
2025-08-08,HTFL,"HeartFlow, Inc.",19.00,34.91,83.74
2025-08-08,SSEA,Starry Sea Acquisition Corp,10.00,10.23,2.30
2025-08-07,FLY,Firefly Aerospace Inc.,45.00,24.98,-44.49
2025-08-07,WYFI,"WhiteFiber, Inc.",17.00,38.71,127.71
2025-08-06,CTW,CTW,5.00,2.37,-52.62
2025-08-06,QUMS,Quantumsphere Acquisition Corporation,10.00,10.23,2.30
2025-08-01,HCMA,HCM III Acquisition Corp.,10.00,10.25,2.50
2025-07-31,BCAR,D. Boral ARC Acquisition I Corp.,10.00,10.53,5.30
2025-07-31,FIG,"Figma, Inc.",33.00,18.64,-43.52
2025-07-31,SI,"Shoulder Innovations, Inc.",15.00,19.77,31.80
2025-07-30,AMBQ,"Ambiq Micro, Inc.",24.00,81.18,238.25
2025-07-30,APAD,A Paradise Acquisition Corp.,10.00,8.03,-19.70
2025-07-30,YMAT,"J-Star Holding Co., Ltd.",4.00,0.621,-84.48
2025-07-24,ARX,Accelerant Holdings,21.00,13.37,-36.33
2025-07-24,LHAI,Linkhome Holdings Inc.,4.00,0.711,-82.24
2025-07-24,MH,"McGraw Hill, Inc.",17.00,9.70,-42.94
2025-07-23,CARL,"Carlsmed, Inc.",15.00,11.09,-26.00
2025-07-23,CRE,Cre8 Enterprise Limited,4.00,3.22,-19.50
2025-07-23,NIQ,NIQ Global Intelligence plc,21.00,8.20,-60.95
2025-07-23,TDIC,Dreamland Limited,4.00,6.74,68.50
2025-07-18,MJID,Majestic Ideal Holdings Ltd,6.00,1.24,-79.33
2025-07-17,LAWR,"Robot Consulting Co., Ltd.",4.00,3.75,-6.25
2025-07-17,PAII,Pyrophyte Acquisition Corp. II,10.00,10.20,2.00
2025-07-16,KMRK,K-TECH Solutions Company Limited,4.00,1.01,-74.75
2025-07-16,MGRT,Mega Fortune Company Limited,4.00,77.01,1825.25
2025-07-16,SOCA,Solarius Capital Acquisition Corp.,10.00,10.30,3.00
2025-07-15,SPEG,Silver Pegasus Acquisition Corp.,10.00,10.28,2.80
2025-07-11,BMHL,Bluemount Holdings Limited,4.00,5.75,43.75
2025-07-09,DLXY,Delixy Holdings Limited,4.00,0.426,-89.36
2025-07-09,GTER,Globa Terra Acquisition Corporation,10.00,10.44,3.90
2025-07-08,ANPA,Rich Sparkle Holdings Limited,4.00,11.00,61.50
2025-07-08,MSGY,Masonglory Limited,4.00,0.52,-86.99
2025-07-08,TLIH,Ten-League International Holdings Limited,4.00,4.24,6.00
2025-07-07,MAMK,MaxsMaking Inc.,4.00,13.00,225.00
2025-07-02,CV,"CapsoVision, Inc.",5.00,7.09,41.80
2025-07-02,EMPG,Empro Group Inc.,4.00,17.36,334.00
2025-07-02,EVAC,EQV Ventures Acquisition Corp. II,10.00,10.18,1.80
2025-07-02,ONCH,1RT Acquisition Corp.,10.00,10.24,2.40
2025-07-02,ORIQ,Origin Investment Corp I,10.00,10.32,3.20
2025-07-02,VNME,Vendome Acquisition Corporation I,10.00,10.20,2.00
2025-07-01,CCII,Cohen Circle Acquisition Corp. II,10.00,10.33,3.30
2025-07-01,GRAN,Grande Group Limited,5.00,1.45,-71.00
2025-07-01,INAC,Indigo Acquisition Corp.,10.00,10.24,2.40
2025-07-01,NMP,NMP Acquisition Corp.,10.00,10.29,2.90
2025-06-27,FIGX,FIGX Capital Acquisition Corp.,10.00,10.22,2.20
2025-06-27,YORK,Yorkville Acquisition Corp.,10.00,11.28,12.80
2025-06-26,CAEP,"Cantor Equity Partners III, Inc.",10.00,15.00,50.00
2025-06-26,JCAP,"Jefferson Capital, Inc.",15.00,18.05,20.33
2025-06-26,JLHL,Julong Holding Limited,4.00,13.25,231.25
2025-06-25,FMFC,Kandal M Venture Limited,4.00,0.324,-91.90
2025-06-25,LWAC,LightWave Acquisition Corp.,10.00,10.21,2.10
2025-06-25,OBA,Oxley Bridge Acquisition Limited,10.00,10.24,2.40
2025-06-24,HCHL,Happy City Holdings Limited,5.00,3.96,-20.80
2025-06-18,AXIN,Axiom Intelligence Acquisition Corp 1,10.00,10.35,3.50
2025-06-18,CAI,"Caris Life Sciences, Inc.",21.00,18.15,-13.57
2025-06-18,EGG,Enigmatig Limited,5.00,7.60,52.00
2025-06-18,PACH,Pioneer Acquisition I Corp,10.00,10.24,2.40
2025-06-18,SLDE,"Slide Insurance Holdings, Inc.",17.00,18.31,7.71
2025-06-17,MENS,Jyong Biotech Ltd.,,1.74,
2025-06-13,AIRO,"AIRO Group Holdings, Inc.",10.00,7.03,-29.70
2025-06-13,BACC,Blue Acquisition Corp.,10.00,10.38,3.70
2025-06-13,BSAA,BEST SPAC I Acquisition Corp.,10.00,12.81,28.10
2025-06-12,CHYM,"Chime Financial, Inc.",27.00,17.38,-35.63
2025-06-12,VNTG,Vantage Corp,4.00,0.65,-83.75
2025-06-11,ASIC,Ategrity Specialty Insurance Company Holdings,17.00,22.00,29.41
2025-06-11,VOYG,"Voyager Technologies, Inc.",31.00,30.36,-2.07
2025-06-10,BLUW,Blue Water Acquisition Corp. III,10.00,10.31,3.10
2025-06-09,JEM,707 Cayman Holdings Limited,4.00,2.65,-33.75
2025-06-06,OMDA,"Omada Health, Inc.",19.00,18.60,-2.11
2025-06-05,CRCL,"Circle Internet Group, Inc.",31.00,70.98,128.97
2025-05-30,PTNM,Pitanium Limited,4.00,10.39,159.75
2025-05-29,JENA,Jena Acquisition Corporation II,10.00,10.35,3.50
2025-05-29,WTG,Wintergreen Acquisition Corp.,10.00,10.41,4.05
2025-05-28,KCHV,Kochav Defense Acquisition Corp.,10.00,10.37,3.70
2025-05-23,CRA,Cal Redwood Acquisition Corp.,10.00,8.04,-19.60
2025-05-23,FTRK,Fast Track Group,4.00,0.419,-89.53
2025-05-23,PELI,Pelican Acquisition Corporation,10.00,8.23,-17.70
2025-05-22,HNGE,"Hinge Health, Inc.",32.00,70.56,120.50
