ipo_date,symbol,company_name,ipo_price,current,return
2020-12-29,MRM,MEDIROM Healthcare Technologies Inc.,15.00,1.07,-92.87
2020-12-24,VTAQ,Ventoux CCM Acquisition Corp.,10.00,5.08,-49.20
2020-12-23,CFIV,CF Acquisition Corp. IV,10.00,10.58,5.80
2020-12-23,GBS,"GBS, Inc.",17.00,,
2020-12-23,HCAR,Healthcare Services Acquisition Corporation,10.00,10.11,1.10
2020-12-23,IKT,"Inhibikase Therapeutics, Inc.",10.00,1.87,-81.30
2020-12-23,VHAQ,Viveon Health Acquisition Corp.,10.00,10.00,
2020-12-23,VII,"7GC & Co. Holdings, Inc.",10.00,10.96,9.60
2020-12-21,ACKIT,Ackrell SPAC Partners I Co.,10.00,,
2020-12-18,DUNE,Dune Acquisition Corporation,10.00,4.05,-59.50
2020-12-18,GFX,Golden Falcon Acquisition Corp.,10.00,10.23,2.30
2020-12-18,IIII,Insu Acquisition Corp. III,10.00,10.08,0.80
2020-12-18,MASS,908 Devices Inc.,20.00,8.97,-55.15
2020-12-18,MTAC,MedTech Acquisition Corporation,10.00,11.34,13.40
2020-12-18,SVOK,Seven Oaks Acquisition Corp.,10.00,9.08,-9.20
2020-12-17,COOL,Corner Growth Acquisition Corp.,10.00,,
2020-12-17,MDWT,"Midwest Holding, Inc.",70.00,26.99,-61.44
2020-12-17,SCOA,ScION Tech Growth I,10.00,10.10,1.00
2020-12-17,VIRI,"Virios Therapeutics, Inc.",10.00,0.16,-98.45
2020-12-16,BCAB,"BioAtla, Inc.",18.00,3.79,-78.94
2020-12-16,CCV,Churchill Capital Corp V,10.00,10.40,3.95
2020-12-16,LOGC,"ContextLogic, Inc.",24.00,6.61,-70.58
2020-12-16,SCPS,"Scopus Biopharma, Inc.",5.50,,-100.00
2020-12-16,UPST,"Upstart Holdings, Inc.",20.00,32.65,63.25
2020-12-15,ATA,Americas Technology Acquisition Corp.,10.00,10.59,5.90
2020-12-15,BLUW,Blue Water Acquisition Corp.,10.00,9.63,-3.70
2020-12-15,KINZ,"Kins Technology Group, Inc.",10.00,4.10,-0.60
2020-12-15,MRAC,Marquee Raine Acquisition Corp.,10.00,10.92,9.20
2020-12-15,OCG,Oriental Culture Holding LTD,4.00,1.81,-54.75
2020-12-15,WNW,Meiwu Technology Company Limited,5.00,3.76,-24.80
2020-12-11,ABCL,AbCellera Biologics Inc.,20.00,6.03,-69.85
2020-12-11,CBAH,"CBRE Acquisition Holdings, Inc.",10.00,10.75,7.50
